연도,국가명,수입,수출,환적,전체물동량
2022,적도 기니,10.0,114.0,38.0,162.0
2022,조지아,152.0,157.0,2853.75,3162.75
2022,중국,1176160.75,1229386.5,3539634.0,5945181.25
2022,지부티,1085.0,534.0,1162.0,2781.0
2022,지브롤터,0.0,1.0,0.0,1.0
2022,체코,8.0,0.0,7.0,15.0
2022,칠레,61448.0,26901.0,274842.5,363191.5
2022,카메룬,14.0,156.0,926.0,1096.0
2022,카보 베르데,7.0,0.0,11.0,18.0
2022,카자흐스탄,2.0,0.0,0.0,2.0
2022,카타르,5671.5,4273.75,5419.5,15364.75
2022,캄보디아,1761.0,3579.0,7527.25,12867.25
2022,캐나다,118453.25,122763.5,434748.0,675964.75
2022,케냐,802.0,1946.0,2239.0,4987.0
2022,케이맨 제도,0.0,5.0,259.25,264.25
2022,코모로,0.0,1.0,15.0,16.0
